 2023-12-05 14:34:59,676 - 'k'
 2023-12-05 14:35:00,028 - Key.enter
 2023-12-05 14:35:01,411 - 'l'
 2023-12-05 14:35:01,794 - 'l'
 2023-12-05 14:35:02,061 - Key.enter
 2023-12-05 14:35:04,845 - 'm'
 2023-12-05 14:35:05,028 - 'm'
 2023-12-05 14:35:05,393 - 'm'
 2023-12-05 14:35:05,658 - Key.enter
 2023-12-05 14:35:10,760 - 'l'
 2023-12-05 14:35:10,958 - 'l'
 2023-12-05 14:35:11,124 - 'l'
 2023-12-05 14:35:11,346 - Key.enter
 2023-12-05 14:35:32,499 - Key.cmd
 2023-12-05 14:35:32,630 - Key.right
 2023-12-05 14:35:55,603 - Key.ctrl_l
 2023-12-05 14:36:00,846 - 'p'
 2023-12-05 14:36:01,223 - 'y'
 2023-12-05 14:36:01,432 - 't'
 2023-12-05 14:36:01,633 - 'h'
 2023-12-05 14:36:02,277 - 'o'
 2023-12-05 14:36:02,556 - 'n'
 2023-12-05 14:36:02,916 - Key.caps_lock
 2023-12-05 14:36:03,119 - '"'
 2023-12-05 14:36:03,236 - Key.caps_lock
 2023-12-05 14:36:03,835 - Key.space
 2023-12-05 14:36:04,560 - 'm'
 2023-12-05 14:36:04,747 - 'a'
 2023-12-05 14:36:04,905 - 'i'
 2023-12-05 14:36:05,116 - 'n'
 2023-12-05 14:36:05,407 - Key.shift
 2023-12-05 14:36:05,589 - '.'
 2023-12-05 14:36:05,968 - 'p'
 2023-12-05 14:36:06,306 - 'y'
 2023-12-05 14:36:06,743 - Key.enter
 2023-12-05 14:40:02,948 - 's'
 2023-12-05 14:40:02,948 - 's'
 2023-12-05 14:40:03,248 - 'e'
 2023-12-05 14:40:03,248 - 'e'
 2023-12-05 14:40:03,641 - 'c'
 2023-12-05 14:40:03,641 - 'c'
 2023-12-05 14:40:38,758 - 'd'
 2023-12-05 14:40:38,758 - 'd'
 2023-12-05 14:40:38,994 - 'e'
 2023-12-05 14:40:38,994 - 'e'
 2023-12-05 14:40:39,244 - 'f'
 2023-12-05 14:40:39,244 - 'f'
 2023-12-05 14:40:39,510 - 'e'
 2023-12-05 14:40:39,510 - 'e'
 2023-12-05 14:40:40,103 - 'n'
 2023-12-05 14:40:40,103 - 'n'
 2023-12-05 14:40:40,400 - 'd'
 2023-12-05 14:40:40,400 - 'd'
 2023-12-05 14:40:40,572 - 'e'
 2023-12-05 14:40:40,572 - 'e'
 2023-12-05 14:40:40,744 - 'r'
 2023-12-05 14:40:43,291 - Key.down
 2023-12-05 14:40:43,291 - Key.down
 2023-12-05 14:40:43,541 - Key.down
 2023-12-05 14:40:43,541 - Key.down
 2023-12-05 14:40:46,400 - Key.enter
 2023-12-05 14:40:46,400 - Key.enter
 2023-12-05 14:42:15,084 - Key.ctrl_l
 2023-12-05 14:42:15,084 - Key.ctrl_l
